orbit_date_time	land_cover_type
20191016_0525	Shrublands
20191016_0525	Shrublands
20191016_0525	Grasslands
20191016_0525	Grasslands
20191016_0525	Grasslands
20191016_0525	Shrublands
20191017_0325	Savannas
20191017_0506	Grasslands
20191017_0506	Grasslands
20191017_0506	Shrublands
20191017_0506	Shrublands
20191017_0506	Savannas
20191018_0306	Savannas
20191018_0447	Grasslands
20191018_0447	Shrublands
20191018_0447	Grasslands
20191018_0447	Grasslands
20191019_0428	Grasslands
20191019_0428	Grasslands
20191019_0428	Savannas
20191019_0428	Savannas
20191019_0428	Savannas
20191019_0428	Savannas
20191020_0409	Grasslands
20191020_0409	Grasslands
20191020_0409	Grasslands
20191020_0409	Savannas
20191020_0409	Shrublands
20191020_0409	Grasslands
20191020_0409	Savannas
20191020_0409	Savannas
20191020_0409	Savannas
20191020_0550	Shrublands
20191021_0350	Grasslands
20191021_0350	Grasslands
20191021_0350	Grasslands
20191021_0350	Grasslands
20191021_0350	Grasslands
20191021_0350	Savannas
20191021_0350	Savannas
20191021_0350	Grasslands
20191021_0350	Savannas
20191021_0350	Savannas
20191021_0350	Grasslands
20191021_0350	Savannas
20191021_0350	Savannas
20191021_0350	Grasslands
20191021_0531	Savannas
20191021_0531	Shrublands
20191021_0531	Savannas
20191021_0531	Shrublands
20191021_0531	Shrublands
20191021_0531	Shrublands
20191022_0331	Savannas
20191022_0331	Grasslands
20191022_0331	Savannas
20191022_0331	Savannas
20191022_0512	Grasslands
20191022_0512	Grasslands
20191022_0512	Grasslands
20191022_0512	Grasslands
20191022_0512	Grasslands
20191022_0512	Shrublands
20191022_0512	Shrublands
20191022_0512	Shrublands
20191022_0512	Shrublands
20191023_0453	Grasslands
20191023_0453	Grasslands
20191024_0434	Grasslands
20191024_0434	Grasslands
20191024_0615	Shrublands
20191025_0415	Shrublands
20191025_0415	Shrublands
20191025_0415	Shrublands
20191025_0415	Grasslands
20191025_0556	Shrublands
20191025_0556	Shrublands
20191026_0537	Shrublands
20191026_0537	Shrublands
20191026_0537	Shrublands
20191027_0518	Shrublands
20191029_0440	Shrublands
20191029_0440	Shrublands
20191029_0440	Shrublands
20191030_0602	Shrublands
20191101_0524	Shrublands
20191103_0446	Grasslands
20191103_0446	Grasslands
20191103_0446	Grasslands
20191103_0446	Grasslands
20191103_0446	Grasslands
20191103_0446	Shrublands
20191103_0446	Shrublands
20191103_0446	Shrublands
20191104_0426	Savannas
20191104_0426	Savannas
20191104_0426	Grasslands
20191104_0608	Savannas
20191105_0407	Shrublands
20191105_0549	Savannas
20191105_0549	Shrublands
20191106_0348	Grasslands
20191106_0530	Grasslands
20191106_0530	Grasslands
20191106_0530	Shrublands
20191106_0530	Grasslands
20191106_0530	Shrublands
20191106_0530	Grasslands
20191106_0530	Grasslands
20191107_0329	Savannas
20191107_0511	Grasslands
20191107_0511	Grasslands
20191107_0511	Grasslands
20191107_0511	Shrublands
20191107_0511	Shrublands
20191107_0511	Grasslands
20191107_0511	Shrublands
20191108_0310	Everg_bl_forests
20191108_0451	Grasslands
20191108_0451	Grasslands
20191108_0451	Grasslands
20191108_0451	Grasslands
20191108_0451	Shrublands
20191109_0432	Grasslands
20191109_0432	Grasslands
20191109_0432	Grasslands
20191109_0432	Grasslands
20191109_0432	Shrublands
20191109_0432	Grasslands
20191109_0432	Grasslands
20191110_0413	Grasslands
20191110_0555	Shrublands
20191111_0354	Savannas
20191111_0354	Savannas
20191111_0354	Grasslands
20191111_0536	Shrublands
20191111_0536	Shrublands
20191112_0335	Everg_bl_forests
20191112_0335	Everg_bl_forests
20191112_0335	Savannas
20191112_0335	Savannas
20191112_0335	Savannas
20191112_0335	Everg_bl_forests
20191112_0516	Grasslands
20191112_0516	Grasslands
20191112_0516	Shrublands
20191112_0516	Shrublands
20191113_0316	Savannas
20191113_0316	Savannas
20191113_0457	Shrublands
20191113_0457	Grasslands
20191113_0457	Grasslands
20191113_0457	Grasslands
20191114_0257	Grasslands
20191114_0257	Savannas
20191114_0257	Everg_bl_forests
20191114_0257	Everg_bl_forests
20191114_0438	Grasslands
20191114_0438	Shrublands
20191115_0238	Everg_bl_forests
20191115_0419	Grasslands
20191115_0419	Grasslands
20191115_0419	Shrublands
20191115_0419	Shrublands
20191115_0419	Grasslands
20191115_0601	Savannas
20191116_0400	Grasslands
20191116_0400	Savannas
20191116_0400	Grasslands
20191116_0400	Shrublands
20191116_0400	Grasslands
20191116_0400	Grasslands
20191116_0400	Grasslands
20191117_0341	Grasslands
20191117_0341	Grasslands
20191117_0341	Grasslands
20191117_0341	Everg_bl_forests
20191117_0341	Grasslands
20191117_0341	Savannas
20191117_0341	Savannas
20191117_0341	Shrublands
20191117_0522	Savannas
20191117_0522	Shrublands
20191117_0522	Shrublands
20191117_0522	Grasslands
20191117_0522	Grasslands
20191117_0522	Savannas
20191117_0522	Grasslands
20191117_0522	Grasslands
20191117_0522	Grasslands
20191117_0522	Grasslands
20191118_0322	Shrublands
20191118_0322	Grasslands
20191118_0322	Savannas
20191118_0322	Savannas
20191118_0322	Grasslands
20191118_0322	Savannas
20191118_0503	Shrublands
20191118_0503	Grasslands
20191118_0503	Grasslands
20191118_0503	Grasslands
20191118_0503	Grasslands
20191118_0503	Grasslands
20191118_0503	Grasslands
20191119_0303	Everg_bl_forests
20191119_0303	Everg_bl_forests
20191119_0303	Shrublands
20191119_0444	Shrublands
20191119_0444	Savannas
20191119_0444	Savannas
20191120_0244	Savannas
20191120_0425	Shrublands
20191120_0425	Grasslands
20191120_0425	Shrublands
20191121_0406	Savannas
20191121_0548	Shrublands
20191122_0347	Savannas
20191122_0347	Savannas
20191122_0347	Everg_bl_forests
20191122_0347	Grasslands
20191122_0347	Savannas
20191122_0347	Everg_bl_forests
20191122_0528	Grasslands
20191122_0528	Savannas
20191122_0528	Grasslands
20191122_0528	Grasslands
20191123_0328	Savannas
20191123_0328	Everg_bl_forests
20191123_0328	Grasslands
20191123_0509	Grasslands
20191124_0309	Everg_bl_forests
20191124_0309	Savannas
20191124_0309	Savannas
20191124_0450	Savannas
20191124_0450	Grasslands
20191124_0450	Grasslands
20191124_0450	Grasslands
20191124_0450	Grasslands
20191126_0412	Grasslands
20191126_0412	Savannas
20191127_0353	Grasslands
20191127_0353	Savannas
20191128_0334	Everg_bl_forests
20191128_0515	Shrublands
20191129_0315	Everg_bl_forests
20191130_0437	Grasslands
20191202_0541	Shrublands
20191203_0340	Grasslands
20191204_0321	Grasslands
20191204_0321	Grasslands
20191205_0302	Savannas
20191205_0443	Grasslands
20191205_0443	Grasslands
20191205_0443	Grasslands
20191205_0443	Grasslands
20191206_0424	Grasslands
20191206_0424	Grasslands
20191206_0424	Grasslands
20191206_0424	Grasslands
20191206_0424	Shrublands
20191206_0424	Grasslands
20191207_0405	Everg_bl_forests
20191207_0405	Everg_bl_forests
20191207_0405	Grasslands
20191207_0405	Grasslands
20191207_0405	Everg_bl_forests
20191207_0405	Grasslands
20191207_0405	Grasslands
20191208_0346	Savannas
20191208_0346	Grasslands
20191208_0346	Savannas
20191208_0346	Grasslands
20191208_0346	Grasslands
20191208_0346	Savannas
20191208_0346	Grasslands
20191208_0346	Grasslands
20191208_0346	Savannas
20191208_0346	Grasslands
20191208_0346	Everg_bl_forests
20191208_0346	Savannas
20191208_0346	Savannas
20191208_0346	Savannas
20191208_0346	Grasslands
20191208_0346	Grasslands
20191208_0528	Shrublands
20191209_0327	Grasslands
20191209_0327	Grasslands
20191209_0327	Savannas
20191209_0327	Grasslands
20191209_0327	Grasslands
20191209_0327	Savannas
20191209_0327	Savannas
20191209_0327	Grasslands
20191209_0327	Savannas
20191209_0327	Everg_bl_forests
20191209_0327	Grasslands
20191209_0509	Grasslands
20191209_0509	Shrublands
20191209_0509	Grasslands
20191210_0308	Savannas
20191210_0308	Grasslands
20191210_0308	Savannas
20191210_0450	Grasslands
20191210_0450	Grasslands
20191210_0450	Grasslands
20191210_0450	Grasslands
20191210_0450	Grasslands
20191211_0430	Grasslands
20191211_0430	Shrublands
20191211_0430	Grasslands
20191211_0430	Shrublands
20191211_0430	Grasslands
20191212_0411	Grasslands
20191212_0411	Grasslands
20191212_0411	Grasslands
20191212_0411	Grasslands
20191212_0411	Grasslands
20191212_0411	Shrublands
20191213_0352	Savannas
20191213_0352	Grasslands
20191213_0352	Grasslands
20191213_0352	Grasslands
20191213_0352	Grasslands
20191213_0352	Savannas
20191213_0352	Grasslands
20191213_0352	Savannas
20191214_0333	Grasslands
20191214_0333	Grasslands
20191214_0333	Grasslands
20191214_0333	Grasslands
20191214_0333	Grasslands
20191214_0333	Grasslands
20191214_0333	Grasslands
20191214_0333	Savannas
20191215_0314	Grasslands
20191215_0314	Grasslands
20191215_0314	Grasslands
20191215_0456	Savannas
20191215_0456	Shrublands
20191215_0456	Shrublands
20191215_0637	Savannas
20191216_0255	Everg_bl_forests
20191216_0255	Grasslands
20191216_0255	Grasslands
20191216_0255	Savannas
20191216_0255	Savannas
20191216_0255	Grasslands
20191216_0437	Grasslands
20191216_0437	Grasslands
20191216_0437	Savannas
20191216_0437	Grasslands
20191216_0437	Grasslands
20191216_0437	Grasslands
20191216_0437	Grasslands
20191216_0437	Grasslands
20191216_0437	Shrublands
20191216_0437	Shrublands
20191216_0437	Grasslands
20191217_0236	Everg_bl_forests
20191217_0236	Savannas
20191217_0236	Grasslands
20191217_0236	Grasslands
20191217_0236	Savannas
20191217_0418	Grasslands
20191217_0418	Grasslands
20191217_0418	Grasslands
20191217_0418	Savannas
20191217_0418	Grasslands
20191217_0418	Everg_bl_forests
20191217_0418	Savannas
20191217_0418	Everg_bl_forests
20191217_0418	Grasslands
20191217_0418	Grasslands
20191217_0418	Grasslands
20191217_0418	Grasslands
20191217_0559	Savannas
20191217_0559	Savannas
20191217_0559	Savannas
20191217_0559	Shrublands
20191218_0359	Everg_bl_forests
20191218_0359	Grasslands
20191218_0359	Everg_bl_forests
20191218_0359	Grasslands
20191218_0359	Grasslands
20191218_0359	Grasslands
20191218_0359	Grasslands
20191218_0359	Grasslands
20191218_0359	Shrublands
20191218_0359	Grasslands
20191218_0359	Everg_bl_forests
20191218_0540	Savannas
20191218_0540	Savannas
20191218_0540	Savannas
20191219_0340	Grasslands
20191219_0340	Grasslands
20191219_0340	Grasslands
20191219_0340	Savannas
20191219_0340	Everg_bl_forests
20191219_0340	Shrublands
20191219_0340	Grasslands
20191219_0340	Savannas
20191219_0340	Everg_bl_forests
20191219_0340	Everg_bl_forests
20191219_0340	Grasslands
20191219_0521	Shrublands
20191219_0521	Grasslands
20191219_0521	Grasslands
20191219_0521	Shrublands
20191219_0521	Grasslands
20191219_0521	Grasslands
20191219_0521	Grasslands
20191219_0521	Shrublands
20191220_0321	Everg_bl_forests
20191220_0321	Shrublands
20191220_0321	Everg_bl_forests
20191220_0321	Grasslands
20191220_0321	Shrublands
20191220_0321	Grasslands
20191220_0321	Everg_bl_forests
20191220_0502	Savannas
20191220_0502	Shrublands
20191220_0502	Shrublands
20191221_0302	Everg_bl_forests
20191221_0302	Everg_bl_forests
20191221_0302	Shrublands
20191221_0302	Everg_bl_forests
20191221_0302	Everg_bl_forests
20191221_0302	Grasslands
20191221_0302	Savannas
20191221_0302	Grasslands
20191221_0302	Everg_bl_forests
20191221_0302	Savannas
20191221_0443	Savannas
20191221_0443	Shrublands
20191221_0443	Shrublands
20191221_0443	Shrublands
20191222_0243	Grasslands
20191222_0243	Savannas
20191222_0243	Everg_bl_forests
20191222_0424	Savannas
20191222_0424	Shrublands
20191222_0424	Grasslands
20191222_0424	Grasslands
20191222_0424	Savannas
20191222_0424	Shrublands
20191222_0424	Shrublands
20191222_0424	Grasslands
20191222_0424	Shrublands
20191222_0424	Grasslands
20191222_0424	Shrublands
20191222_0424	Shrublands
20191223_0405	Shrublands
20191223_0405	Shrublands
20191223_0405	Grasslands
20191223_0405	Shrublands
20191223_0405	Grasslands
20191223_0405	Savannas
20191223_0405	Grasslands
20191223_0405	Grasslands
20191223_0405	Grasslands
20191223_0405	Savannas
20191223_0405	Grasslands
20191223_0405	Shrublands
20191224_0346	Grasslands
20191224_0346	Grasslands
20191224_0346	Grasslands
20191224_0346	Grasslands
20191224_0346	Grasslands
